Code station	Nom station	Secteur de la station	AASQA	Code ZAS	Nom ZAS	Type ZAS	Région	Code commune	Commune	Population commune	Unité urbaine	Population unité urbaine	Type unité urbaine	Latitude	Longitude	NO2	PM10	PM2.5	SO2	O3	C6H6	CO	As dans les  PM10	BaP dans les PM10	Cd dans les PM10	Ni dans les PM10	Pb dans les PM10
FR33203	ANNECY Rocade	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR01	ZAR PAYS-DE-SAVOIE	ZAR	AUVERGNE-RHONE-ALPES	74010	 ANNECY  	128199	 ANNECY 	177622	agglomération	45,9097	6,11825	trafic	trafic										
FR33211	ANNEMASSE	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR01	ZAR PAYS-DE-SAVOIE	ZAR	AUVERGNE-RHONE-ALPES	74012	 ANNEMASSE 	36250	 GENÈVE (SUI)-ANNEMASSE (PARTIE FRANÇAISE) 	188235	agglomération	46,19583	6,240556	fond	fond			fond							
FR33212	GAILLARD	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR01	ZAR PAYS-DE-SAVOIE	ZAR	AUVERGNE-RHONE-ALPES	74133	 GAILLARD 	10419	 GENÈVE (SUI)-ANNEMASSE (PARTIE FRANÇAISE) 	188235	agglomération	46,19369	6,214858	fond	fond	fond		fond							
FR33220	PASSY	périurbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR03	ZAR VALLEE-DE-L-ARVE	ZAR	AUVERGNE-RHONE-ALPES	74208	 PASSY 	11203	 SALLANCHES 	46128	agglomération	45,92361	6,713611	fond	fond	fond		fond				fond			
FR33232	BOSSONS	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR03	ZAR VALLEE-DE-L-ARVE	ZAR	AUVERGNE-RHONE-ALPES	74056	 CHAMONIX-MONT-BLANC 	8648	 CHAMONIX-MONT-BLANC 	11624	agglomération	45,907223	6,845833	trafic	trafic										
FR33302	St Germain/Rhône	rurale près des villes	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZRE01	ZR AUVERGNE-RHONE-ALPES	ZRE	AUVERGNE-RHONE-ALPES	74235	 SAINT-GERMAIN-SUR-RHÔNE 	556	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 74 	111160	rurale	46,072224	5,820833	fond	fond	fond	fond	fond							
FR33305	Bourg-en-Bresse	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZRE01	ZR AUVERGNE-RHONE-ALPES	ZRE	AUVERGNE-RHONE-ALPES	1053	 BOURG-EN-BRESSE 	41248	 BOURG-EN-BRESSE 	61097	agglomération	46,211666	5,226389	fond	fond	fond		fond							
FR34013	Gambetta	urbaine	LIG'AIR	FR24ZAG02	ZAG ORLEANS	ZAG	CENTRE-VAL DE LOIRE	45234	 ORLÉANS 	116238	 ORLÉANS 	282904	agglomération	47,907083	1,901139	trafic	trafic										
FR34014	St Jean	urbaine	LIG'AIR	FR24ZAG02	ZAG ORLEANS	ZAG	CENTRE-VAL DE LOIRE	45284	 SAINT-JEAN-DE-BRAYE 	21054	 ORLÉANS 	282904	agglomération	47,917398	1,966258	fond	fond	fond			fond			fond			
FR34017	Marigny-les-usages	périurbaine	LIG'AIR	FR24ZAG02	ZAG ORLEANS	ZAG	CENTRE-VAL DE LOIRE	45197	 MARIGNY-LES-USAGES 	1627	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 45 	169675	rurale	47,958972	2,009278					fond							
FR34024	Joué lès Tours	urbaine	LIG'AIR	FR24ZAG01	ZAG TOURS	ZAG	CENTRE-VAL DE LOIRE	37122	 JOUÉ-LÈS-TOURS 	38250	 TOURS 	359992	agglomération	47,344139	0,653778	fond	fond	fond		fond							
FR34025	La Bruyère	urbaine	LIG'AIR	FR24ZAG01	ZAG TOURS	ZAG	CENTRE-VAL DE LOIRE	37261	 TOURS 	136463	 TOURS 	359992	agglomération	47,419083	0,682944	fond	fond										
FR34026	Tours péri-urbaine	périurbaine	LIG'AIR	FR24ZAG01	ZAG TOURS	ZAG	CENTRE-VAL DE LOIRE	37054	 CHANCEAUX-SUR-CHOISILLE 	3513	 CHANCEAUX-SUR-CHOISILLE 	3513	agglomération	47,46925	0,717333					fond							
FR34028	Pompidou	urbaine	LIG'AIR	FR24ZAG01	ZAG TOURS	ZAG	CENTRE-VAL DE LOIRE	37261	 TOURS 	136463	 TOURS 	359992	agglomération	47,394639	0,704861	trafic	trafic	trafic				trafic					
FR34029	La_Source-CNRS	urbaine	LIG'AIR	FR24ZAG02	ZAG ORLEANS	ZAG	CENTRE-VAL DE LOIRE	45234	 ORLÉANS 	116238	 ORLÉANS 	282904	agglomération	47,83775	1,944667	fond	fond	fond		fond							
FR34030	Bourges-Baffier	urbaine	LIG'AIR	FR24ZRE01	ZR CENTRE-VAL DE LOIRE	ZRE	CENTRE-VAL DE LOIRE	18033	 BOURGES 	64668	 BOURGES 	85637	agglomération	47,075044	2,407183	trafic	trafic										
FR34032	Leblanc	urbaine	LIG'AIR	FR24ZRE01	ZR CENTRE-VAL DE LOIRE	ZRE	CENTRE-VAL DE LOIRE	18033	 BOURGES 	64668	 BOURGES 	85637	agglomération	47,082778	2,405333	fond	fond	fond		fond							
FR34038	Verneuil	rurale nationale	LIG'AIR	FR24ZRE01	ZR CENTRE-VAL DE LOIRE	ZRE	CENTRE-VAL DE LOIRE	18277	 VERNEUIL 	35	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 18 	135219	rurale	46,814694	2,610069	fond		fond		fond			fond	fond	fond	fond	fond
FR34041	Fulbert	urbaine	LIG'AIR	FR24ZAR01	ZAR CHARTRES-DREUX	ZAR	CENTRE-VAL DE LOIRE	28085	 CHARTRES 	38426	 CHARTRES 	88791	agglomération	48,444417	1,510139		fond	fond		fond							
FR34043	Oysonville	rurale régionale	LIG'AIR	FR24ZRE01	ZR CENTRE-VAL DE LOIRE	ZRE	CENTRE-VAL DE LOIRE	28294	 OYSONVILLE 	524	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 28 	167105	rurale	48,391139	1,955611					fond							
FR34046	Dreux Centre	urbaine	LIG'AIR	FR24ZAR01	ZAR CHARTRES-DREUX	ZAR	CENTRE-VAL DE LOIRE	28134	 DREUX 	30664	 DREUX 	48730	agglomération	48,729694	1,358472	fond	fond	fond		fond							
FR34047	Saint-Remy	périurbaine	LIG'AIR	FR24ZAR01	ZAR CHARTRES-DREUX	ZAR	CENTRE-VAL DE LOIRE	28359	 SAINT-RÉMY-SUR-AVRE 	4032	 SAINT-LUBIN-DES-JONCHERETS-NONANCOURT 	12634	agglomération	48,760889	1,233639	trafic	trafic										
FR34048	Chartres_trafic	urbaine	LIG'AIR	FR24ZAR01	ZAR CHARTRES-DREUX	ZAR	CENTRE-VAL DE LOIRE	28085	 CHARTRES 	38426	 CHARTRES 	88791	agglomération	48,449158	1,492469	trafic		trafic									
FR34051	Chateauroux Sud	urbaine	LIG'AIR	FR24ZRE01	ZR CENTRE-VAL DE LOIRE	ZRE	CENTRE-VAL DE LOIRE	36044	 CHÂTEAUROUX 	43442	 CHÂTEAUROUX 	60486	agglomération	46,798278	1,693139	fond	fond	fond		fond							
FR34054	Faverolles	rurale régionale	LIG'AIR	FR24ZRE01	ZR CENTRE-VAL DE LOIRE	ZRE	CENTRE-VAL DE LOIRE	36244	 VILLENTROIS-FAVEROLLES-EN-BERRY 	877	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 36 	99589	rurale	47,170167	1,409694					fond							
FR34056	Montierchaume	périurbaine	LIG'AIR	FR24ZRE01	ZR CENTRE-VAL DE LOIRE	ZRE	CENTRE-VAL DE LOIRE	36128	 MONTIERCHAUME 	1667	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 36 	99589	rurale	46,864528	1,771944					fond							
FR34057	Issoudun Trafic ZR	urbaine	LIG'AIR	FR24ZRE01	ZR CENTRE-VAL DE LOIRE	ZRE	CENTRE-VAL DE LOIRE	36088	 ISSOUDUN 	11690	 ISSOUDUN 	11690	agglomération	46,942941	2,003258	trafic		trafic									
FR34061	Blois nord	urbaine	LIG'AIR	FR24ZAR02	ZAR BLOIS	ZAR	CENTRE-VAL DE LOIRE	41018	 BLOIS 	45871	 BLOIS 	67036	agglomération	47,594256	1,302667	fond	fond	fond		fond							
FR34063	Blois_trafic	urbaine	LIG'AIR	FR24ZAR02	ZAR BLOIS	ZAR	CENTRE-VAL DE LOIRE	41018	 BLOIS 	45871	 BLOIS 	67036	agglomération	47,586544	1,326533	trafic		trafic									
FR34064	Montargis_trafic	urbaine	LIG'AIR	FR24ZRE01	ZR CENTRE-VAL DE LOIRE	ZRE	CENTRE-VAL DE LOIRE	45208	 MONTARGIS 	14789	 MONTARGIS 	56675	agglomération	48,006936	2,740111	trafic		trafic									
FR34065	Montargis Fond	urbaine	LIG'AIR	FR24ZRE01	ZR CENTRE-VAL DE LOIRE	ZRE	CENTRE-VAL DE LOIRE	45208	 MONTARGIS 	14789	 MONTARGIS 	56675	agglomération	47,996994	2,731511	fond	fond	fond		fond							
FR34108	Bazoches_CC	rurale près des villes	LIG'AIR	FR24ZRE01	ZR CENTRE-VAL DE LOIRE	ZRE	CENTRE-VAL DE LOIRE	45025	 BAZOCHES-LES-GALLERANDES 	1545	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 45 	169675	rurale	48,166056	2,044028								industrielle		industrielle	industrielle	industrielle
FR35002	ST JUNIEN - Fontaine	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	87154	 SAINT-JUNIEN 	11257	 SAINT-JUNIEN 	11257	agglomération	45,89	0,9	fond	fond		fond	fond							
FR35004	BRIVE - Dalton	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	19031	 BRIVE-LA-GAILLARDE 	46630	 BRIVE-LA-GAILLARDE 	75770	agglomération	45,158745	1,537222	fond	fond			fond							
FR35005	GUERET - Nicolas	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	23096	 GUÉRET 	12889	 GUÉRET 	13925	agglomération	46,17	1,87	fond	fond			fond	fond		fond		fond	fond	fond
FR35006	TULLE - Hugo	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	19272	 TULLE 	14705	 TULLE 	21769	agglomération	45,26	1,76	fond	fond			fond							
FR35007	PALAIS S/ V.- Garros	périurbaine	ATMO NOUVELLE-AQUITAINE	FR75ZAR01	ZAR LIMOGES	ZAR	NOUVELLE-AQUITAINE	87113	 LE PALAIS-SUR-VIENNE 	6038	 LIMOGES 	186799	agglomération	45,869995	1,31		fond			fond			fond		fond	fond	fond
FR35010	LIMOGES - Aine	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZAR01	ZAR LIMOGES	ZAR	NOUVELLE-AQUITAINE	87085	 LIMOGES 	131479	 LIMOGES 	186799	agglomération	45,829953	1,254846	trafic	trafic										
FR35012	LA NOUAILLE - MERA	rurale nationale	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	23144	 LA NOUAILLE 	244	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 23 	92669	rurale	45,809998	2,06					fond							
FR35019	SAILLAT - Ipaper	rurale près des villes	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	87131	 SAILLAT-SUR-VIENNE 	825	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 87 	132164	rurale	45,875823	0,823957	industrielle	industrielle		industrielle					industrielle			
FR35027	LIMOGES - BERLAND	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZAR01	ZAR LIMOGES	ZAR	NOUVELLE-AQUITAINE	87085	 LIMOGES 	131479	 LIMOGES 	186799	agglomération	45,84222	1,25967	fond	fond	fond		fond	fond			fond			
FR36001	Valence Périurb. Sud	périurbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR02	ZAR VALLEE-DU-RHONE	ZAR	AUVERGNE-RHONE-ALPES	26252	 PORTES-LÈS-VALENCE 	10666	 VALENCE 	132556	agglomération	44,870243	4,876289	fond	fond			fond							
FR36002	Valence Urb. Centre	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR02	ZAR VALLEE-DU-RHONE	ZAR	AUVERGNE-RHONE-ALPES	26362	 VALENCE 	64726	 VALENCE 	132556	agglomération	44,933514	4,893481	fond	fond	fond		fond				fond			
FR36007	Saint Bauzile CEC	rurale régionale	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZRE01	ZR AUVERGNE-RHONE-ALPES	ZRE	AUVERGNE-RHONE-ALPES	7219	 SAINT-BAUZILE 	314	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 07 	119579	rurale	44,675938	4,673586				industrielle								
FR36019	Romans-sur-Isère	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR02	ZAR VALLEE-DU-RHONE	ZAR	AUVERGNE-RHONE-ALPES	26281	 ROMANS-SUR-ISÈRE 	33160	 ROMANS-SUR-ISÈRE 	57078	agglomération	45,0425	5,0443	fond	fond	fond		fond							
FR36021	Drôme Rurale Sud-SND	rurale nationale	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZRE01	ZR AUVERGNE-RHONE-ALPES	ZRE	AUVERGNE-RHONE-ALPES	26321	 SAINT-NAZAIRE-LE-DÉSERT 	199	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 26 	147460	rurale	44,569443	5,278972	fond	fond	fond		fond			fond	fond	fond	fond	fond
FR36032	A7 Valence Est	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAR02	ZAR VALLEE-DU-RHONE	ZAR	AUVERGNE-RHONE-ALPES	26058	 BOURG-LÈS-VALENCE 	19889	 VALENCE 	132556	agglomération	44,9492	4,890133	trafic	trafic	trafic									
FR37001	ST de Baie mahault	périurbaine	GWAD'AIR	FR01ZAG01	ZAG POINTE-A-PITRE	ZAG	GUADELOUPE	97103	 BAIE-MAHAULT 	31193	 POINTE-À-PITRE-LES ABYMES 	250952	agglomération	16,257308	-61,591725	fond	fond			fond							
FR37006	PTP-VICTOIRE	urbaine	GWAD'AIR	FR01ZAG01	ZAG POINTE-A-PITRE	ZAG	GUADELOUPE	97120	 POINTE-À-PITRE 	15410	 POINTE-À-PITRE-LES ABYMES 	250952	agglomération	16,23674	-61,534101	fond	fond	fond		fond	fond		fond	fond	fond	fond	fond
FR37007	ST Vieux Bourg ABYMES	périurbaine	GWAD'AIR	FR01ZAG01	ZAG POINTE-A-PITRE	ZAG	GUADELOUPE	97101	 LES ABYMES 	53082	 POINTE-À-PITRE-LES ABYMES 	250952	agglomération	16,25066	-61,527794	trafic	trafic										
FR37010	BT_PICHON	urbaine	GWAD'AIR	FR01ZRE01	ZR GUADELOUPE	ZRE	GUADELOUPE	97105	 BASSE-TERRE 	10046	 BASSE-TERRE 	50876	agglomération	15,994349	-61,727203	fond	fond		fond	fond	fond		fond	fond	fond	fond	fond
FR37038	SXM Marigot	urbaine	GWAD'AIR	FR01ZRE01	ZR GUADELOUPE	ZRE	SAINT-MARTIN	97801	 SAINT-MARTIN 	34065	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 978 	34065	rurale	18,070114	-63,081481	fond	fond			fond							
FR37040	ABYMES RN1	périurbaine	GWAD'AIR	FR01ZAG01	ZAG POINTE-A-PITRE	ZAG	GUADELOUPE	97101	 LES ABYMES 	53082	 POINTE-À-PITRE-LES ABYMES 	250952	agglomération	16,254085	-61,53713						trafic						
FR38001	LYC. LISLET GEOFFROY	urbaine	ATMO REUNION	FR04ZAR01	ZAR SAINT-DENIS	ZAR	LA REUNION	97411	 SAINT-DENIS 	150535	 SAINT-DENIS 	183769	agglomération	-20,889893	55,46884	fond	fond										
FR38002	MONTGAILLARD	périurbaine	ATMO REUNION	FR04ZAR01	ZAR SAINT-DENIS	ZAR	LA REUNION	97411	 SAINT-DENIS 	150535	 SAINT-DENIS 	183769	agglomération	-20,903294	55,468334					fond							
FR38008	Ecole JOINVILLE	urbaine	ATMO REUNION	FR04ZAR01	ZAR SAINT-DENIS	ZAR	LA REUNION	97411	 SAINT-DENIS 	150535	 SAINT-DENIS 	183769	agglomération	-20,884575	55,453906	fond	fond	fond	fond	fond	fond						
FR38009	Ecole La Marine	périurbaine	ATMO REUNION	FR04ZAR01	ZAR SAINT-DENIS	ZAR	LA REUNION	97420	 SAINTE-SUZANNE 	23718	 SAINTE-SUZANNE 	23718	agglomération	-20,910585	55,618977	trafic			industrielle								
FR38011	Station Luther King	urbaine	ATMO REUNION	FR04ZAR02	ZAR VOLCAN	ZAR	LA REUNION	97416	 SAINT-PIERRE 	84961	 SAINT-PIERRE 	4122	agglomération	-21,334406	55,45906	fond	fond	fond	fond	fond			fond	fond	fond	fond	fond
FR38014	Ligne Paradis	périurbaine	ATMO REUNION	FR04ZAR02	ZAR VOLCAN	ZAR	LA REUNION	97416	 SAINT-PIERRE 	84961	 SAINT-PIERRE 	4122	agglomération	-21,312895	55,474194	fond	fond			fond							
FR38016	Station Bourg-Murat	rurale régionale	ATMO REUNION	FR04ZAR02	ZAR VOLCAN	ZAR	LA REUNION	97422	 LE TAMPON 	79385	 SAINT-PIERRE 	4122	agglomération	-21,204815	55,58262	fond	fond		fond	fond							
FR38017	Grand Coude	rurale régionale	ATMO REUNION	FR04ZAR02	ZAR VOLCAN	ZAR	LA REUNION	97412	 SAINT-JOSEPH 	37517	 SAINT-JOSEPH 	49825	agglomération	-21,29433	55,62793		fond	fond	fond								
FR38018	Centre Penitencier	périurbaine	ATMO REUNION	FR04ZAR01	ZAR SAINT-DENIS	ZAR	LA REUNION	97407	 LE PORT 	33531	 SAINT-PAUL 	2837	agglomération	-20,9498	55,313828	trafic			industrielle								
FR38020	Plateau Caillou	urbaine	ATMO REUNION	FR04ZAR01	ZAR SAINT-DENIS	ZAR	LA REUNION	97415	 SAINT-PAUL 	103492	 SAINT-PAUL 	2837	agglomération	-21,009739	55,272675	fond	fond	fond	fond	fond							
FR38021	Grand Fond	périurbaine	ATMO REUNION	FR04ZAR01	ZAR SAINT-DENIS	ZAR	LA REUNION	97415	 SAINT-PAUL 	103492	 SAINT-PAUL 	2837	agglomération	-21,032139	55,232563	fond	fond			fond							
FR38023	BD BANKS	urbaine	ATMO REUNION	FR04ZAR02	ZAR VOLCAN	ZAR	LA REUNION	97416	 SAINT-PIERRE 	84961	 SAINT-PIERRE 	4122	agglomération	-21,331703	55,478949	trafic	trafic					trafic					
FR38024	RDT SAINT-LEU	rurale près des villes	ATMO REUNION	FR04ZRE01	ZR LA REUNION	ZRE	LA REUNION	97413	 SAINT-LEU 	34196	 SAINT-LEU 	34196	agglomération	-21,213212	55,302844	trafic	trafic	trafic									
FR38091	Terrain de Sel	urbaine	ATMO REUNION	FR04ZAR01	ZAR SAINT-DENIS	ZAR	LA REUNION	97408	 LA POSSESSION 	32633	 SAINT-PAUL 	2837	agglomération	-20,928686	55,332581	trafic			industrielle								
FR38098	Sarda Garriga	urbaine	ATMO REUNION	FR04ZAR02	ZAR VOLCAN	ZAR	LA REUNION	97414	 SAINT-LOUIS 	53589	 SAINT-LOUIS 	53589	agglomération	-21,277075	55,403065	trafic			industrielle								
FR39003	Etang Zabricot	urbaine	MADININAIR	FR02ZAR01	ZAR FORT-DE-FRANCE	ZAR	MARTINIQUE	97209	 FORT-DE-FRANCE 	78126	 FORT-DE-FRANCE 	118579	agglomération	14,603497	-61,041206				industrielle								
FR39008	Ville de Schoelcher	urbaine	MADININAIR	FR02ZAR01	ZAR FORT-DE-FRANCE	ZAR	MARTINIQUE	97229	 SCHŒLCHER 	19847	 FORT-DE-FRANCE 	118579	agglomération	14,616389	-61,100792		fond	fond									
FR39009	Lamentin	urbaine	MADININAIR	FR02ZAR01	ZAR FORT-DE-FRANCE	ZAR	MARTINIQUE	97213	 LE LAMENTIN 	40581	 LE LAMENTIN 	40581	agglomération	14,610653	-61,002586	fond	fond	fond		fond							
FR39010	Concorde	urbaine	MADININAIR	FR02ZAR01	ZAR FORT-DE-FRANCE	ZAR	MARTINIQUE	97209	 FORT-DE-FRANCE 	78126	 FORT-DE-FRANCE 	118579	agglomération	14,613844	-61,063492	trafic											
FR39011	Reneville	urbaine	MADININAIR	FR02ZAR01	ZAR FORT-DE-FRANCE	ZAR	MARTINIQUE	97209	 FORT-DE-FRANCE 	78126	 FORT-DE-FRANCE 	118579	agglomération	14,602253	-61,053642		trafic				trafic						
FR39014	Sainte_Luce	périurbaine	MADININAIR	FR02ZRE01	ZR MARTINIQUE	ZRE	MARTINIQUE	97227	 SAINTE-LUCE 	9651	 LE ROBERT 	130845	agglomération	14,468869	-60,927417	fond	fond	fond		fond							
FR39015	Hôtel de ville	urbaine	MADININAIR	FR02ZAR01	ZAR FORT-DE-FRANCE	ZAR	MARTINIQUE	97209	 FORT-DE-FRANCE 	78126	 FORT-DE-FRANCE 	118579	agglomération	14,607444	-61,069778		fond										
FR39016	Robert Bourg	urbaine	MADININAIR	FR02ZAR01	ZAR FORT-DE-FRANCE	ZAR	MARTINIQUE	97222	 LE ROBERT 	22429	 LE ROBERT 	130845	agglomération	14,678025	-60,939056	fond	fond	fond		fond							
FR39017	Bellevue	périurbaine	MADININAIR	FR02ZAR01	ZAR FORT-DE-FRANCE	ZAR	MARTINIQUE	97209	 FORT-DE-FRANCE 	78126	 FORT-DE-FRANCE 	118579	agglomération	14,601469	-61,085331	fond				fond				fond			
FR39109	Office du tourisme	urbaine	MADININAIR	FR02ZAR01	ZAR FORT-DE-FRANCE	ZAR	MARTINIQUE	97234	 BELLEFONTAINE 	1770	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 972 	12631	rurale	14,671083	-61,163361								industrielle		industrielle	industrielle	industrielle
FR40006	Brady	urbaine	ATMO GUYANE	FR03ZRE01	ZR GUYANE	ZRE	GUYANE	97304	 KOUROU 	24959	 KOUROU 	24959	agglomération	5,164248	-52,64649	fond	fond		fond	fond	fond		fond	fond	fond	fond	fond
FR40007	Kalou	périurbaine	ATMO GUYANE	FR03ZAR01	ZAR ILE-DE-CAYENNE	ZAR	GUYANE	97307	 MATOURY 	32942	 CAYENNE 	122737	agglomération	4,84816	-52,3238	fond	fond		fond	fond	fond		fond	fond	fond	fond	fond
FR40008	Caiena3	urbaine	ATMO GUYANE	FR03ZAR01	ZAR ILE-DE-CAYENNE	ZAR	GUYANE	97302	 CAYENNE 	63652	 CAYENNE 	122737	agglomération	4,9378467	-52,32093	fond	fond	fond		fond	fond						
FR40009	Bouchon	urbaine	ATMO GUYANE	FR03ZAR01	ZAR ILE-DE-CAYENNE	ZAR	GUYANE	97302	 CAYENNE 	63652	 CAYENNE 	122737	agglomération	4,920833	-52,321944	trafic	trafic										
FR40010	Matiti	rurale près des villes	ATMO GUYANE	FR03ZRE01	ZR GUYANE	ZRE	GUYANE	97305	 MACOURIA 	15602	 MACOURIA 	15602	agglomération	5,034602	-52,563795	fond			fond	fond							
FR41001	AJACCIO CANETTO	urbaine	QUALITAIR CORSE	FR94ZAR01	ZAR AJACCIO	ZAR	CORSE	2A004	 AJACCIO 	70817	 AJACCIO 	82441	agglomération	41,924694	8,735694	fond	fond	fond	fond	fond							
FR41002	BASTIA GIRAUD	urbaine	QUALITAIR CORSE	FR94ZAR02	ZAR BASTIA	ZAR	CORSE	2B033	 BASTIA 	48044	 BASTIA 	71221	agglomération	42,697917	9,446417	fond	fond	fond	fond	fond							
FR41003	AJACCIO PIATANICCIA	périurbaine	QUALITAIR CORSE	FR94ZAR01	ZAR AJACCIO	ZAR	CORSE	2A271	 SARROLA-CARCOPINO 	3268	 AJACCIO 	82441	agglomération	41,958028	8,820278	industrielle	industrielle			industrielle							
FR41004	BASTIA LA MARANA	périurbaine	QUALITAIR CORSE	FR94ZAR02	ZAR BASTIA	ZAR	CORSE	2B148	 LUCCIANA 	5893	 BORGO 	20766	agglomération	42,535833	9,475972	industrielle	industrielle			industrielle							
FR41007	AJACCIO SPOSATA	périurbaine	QUALITAIR CORSE	FR94ZAR01	ZAR AJACCIO	ZAR	CORSE	2A004	 AJACCIO 	70817	 AJACCIO 	82441	agglomération	41,949222	8,757583	fond				fond				fond			
FR41017	BASTIA MONTESORO	périurbaine	QUALITAIR CORSE	FR94ZAR02	ZAR BASTIA	ZAR	CORSE	2B033	 BASTIA 	48044	 BASTIA 	71221	agglomération	42,671333	9,434639	fond		fond		fond			fond		fond	fond	fond
FR41024	VENACO	rurale régionale	QUALITAIR CORSE	FR94ZRE01	ZR CORSE	ZRE	CORSE	2B341	 VENACO 	712	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 2B 	53038	rurale	42,236028	9,190028	fond	fond	fond		fond							
FR41059	AJACCIO ABBATUCCI	urbaine	QUALITAIR CORSE	FR94ZAR01	ZAR AJACCIO	ZAR	CORSE	2A004	 AJACCIO 	70817	 AJACCIO 	82441	agglomération	41,92575	8,738278	trafic	trafic		trafic		trafic	trafic					
FR41060	BASTIA FANGO	urbaine	QUALITAIR CORSE	FR94ZAR02	ZAR BASTIA	ZAR	CORSE	2B033	 BASTIA 	48044	 BASTIA 	71221	agglomération	42,702833	9,446389	trafic	trafic		trafic								
FR42010	Strasbourg Neudorf Ecoquartier Danube	urbaine	ATMO GRAND EST	FR44ZAG01	ZAG STRASBOURG	ZAG	GRAND EST	67482	 STRASBOURG 	284677	 STRASBOURG (PARTIE FRANÇAISE) 	473638	agglomération	48,572808	7,767833	fond	fond	fond									
FR42011	Haguenau-Place marché aux bestiaux	urbaine	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	67180	 HAGUENAU 	34789	 HAGUENAU 	59600	agglomération	48,818352	7,786409	fond		fond		fond							
FR42012	Héming Rue des Ecoles	rurale près des villes	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	57314	 HÉMING 	498	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 57 	259517	rurale	48,694513	6,965651									fond			
FR43099	Kawéni Nord	périurbaine	HAWA MAYOTTE	FR06ZRE01	ZR MAYOTTE	ZRE	MAYOTTE	97611	 MAMOUDZOU 	71437	 MAMOUDZOU 	103593	agglomération	-12,761174	45,226197	trafic	trafic		trafic	trafic		trafic					
FR50060	Montauban	urbaine	ATMO OCCITANIE	FR76ZRE01	ZR OCCITANIE	ZRE	OCCITANIE	82121	 MONTAUBAN 	60952	 MONTAUBAN 	79527	agglomération	44,01285657	1,37530522	fond	fond	fond		fond							
FR50224	Perpignan bd Pyrénées	urbaine	ATMO OCCITANIE	FR76ZAR01	ZAR PERPIGNAN	ZAR	OCCITANIE	66136	 PERPIGNAN 	119188	 PERPIGNAN 	201291	agglomération	42,69587	2,888483	trafic	trafic	trafic									
FR82001	Besancon Mégevand	urbaine	ATMO BOURGOGNE-FRANCHE-COMTE	FR27ZAR03	ZAR BESANCON	ZAR	BOURGOGNE-FRANCHE-COMTE	25056	 BESANÇON 	116775	 BESANÇON 	138691	agglomération	47,235973	6,023611	trafic											
