Code station	Nom station	Secteur de la station	AASQA	Code ZAS	Nom ZAS	Type ZAS	Région	Code commune	Commune	Population commune	Unité urbaine	Population unité urbaine	Type unité urbaine	Latitude	Longitude	NO2	PM10	PM2.5	SO2	O3	C6H6	CO	As dans les  PM10	BaP dans les PM10	Cd dans les PM10	Ni dans les PM10	Pb dans les PM10
FR28010	Harnes Serres	périurbaine	ATMO HAUTS DE FRANCE	FR32ZAG01	ZAG BLDV	ZAG	HAUTS-DE-FRANCE	62413	 HARNES 	12324	 DOUAI-LENS 	504281	agglomération	50,44914	2,9	fond	fond			fond							
FR28022	St-Laurent-Blangy	périurbaine	ATMO HAUTS DE FRANCE	FR32ZAR04	ZAR ARRAS	ZAR	HAUTS-DE-FRANCE	62753	 SAINT-LAURENT-BLANGY 	6575	 ARRAS 	87745	agglomération	50,30886	2,807369	fond	fond			fond	fond		fond	fond	fond	fond	fond
FR28028	Bethune Stade	urbaine	ATMO HAUTS DE FRANCE	FR32ZAG01	ZAG BLDV	ZAG	HAUTS-DE-FRANCE	62119	 BÉTHUNE 	25193	 BÉTHUNE 	355994	agglomération	50,535385	2,635692	fond	fond	fond		fond							
FR28033	Noeux-les-Mines	périurbaine	ATMO HAUTS DE FRANCE	FR32ZAG01	ZAG BLDV	ZAG	HAUTS-DE-FRANCE	62847	 VERQUIGNEUL 	1974	 BÉTHUNE 	355994	agglomération	50,48972	2,66642	fond	fond			fond							
FR28034	ISBERGUES	rurale près des villes	ATMO HAUTS DE FRANCE	FR32ZAG01	ZAG BLDV	ZAG	HAUTS-DE-FRANCE	62473	 ISBERGUES 	8745	 BÉTHUNE 	355994	agglomération	50,6257583	2,473227778								industrielle		industrielle	industrielle	industrielle
FR28115	Lens Varsovie	urbaine	ATMO HAUTS DE FRANCE	FR32ZAG01	ZAG BLDV	ZAG	HAUTS-DE-FRANCE	62498	 LENS 	31606	 DOUAI-LENS 	504281	agglomération	50,428604	2,836111		trafic										
FR29423	ROANNE	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZRE01	ZR AUVERGNE-RHONE-ALPES	ZRE	AUVERGNE-RHONE-ALPES	42187	 ROANNE 	34004	 ROANNE 	79734	agglomération	46,04111	4,074656	fond	fond			fond							
FR29424	SAINT ETIENNE SUD	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAG03	ZAG SAINT-ETIENNE	ZAG	AUVERGNE-RHONE-ALPES	42218	 SAINT-ÉTIENNE 	173089	 SAINT-ÉTIENNE 	374068	agglomération	45,42009	4,395422	fond	fond	fond		fond			fond	fond	fond	fond	fond
FR29426	SAINT-CHAMOND	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAG03	ZAG SAINT-ETIENNE	ZAG	AUVERGNE-RHONE-ALPES	42207	 SAINT-CHAMOND 	34979	 SAINT-ÉTIENNE 	374068	agglomération	45,475327	4,515003	fond	fond	fond		fond							
FR29429	RIVE DE GIER	périurbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAG03	ZAG SAINT-ETIENNE	ZAG	AUVERGNE-RHONE-ALPES	42186	 RIVE-DE-GIER 	15105	 SAINT-ÉTIENNE 	374068	agglomération	45,533424	4,623939	trafic	trafic										
FR29439	LA TALAUDIERE	périurbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAG03	ZAG SAINT-ETIENNE	ZAG	AUVERGNE-RHONE-ALPES	42305	 LA TALAUDIÈRE 	6931	 SAINT-ÉTIENNE 	374068	agglomération	45,481777	4,429667	fond	fond			fond							
